,0
0,mjohnson18
1,evilparsley
2,slig001
3,cusack
4,suzannemaria
5,paulapp
6,bbergman11
7,jujumovies
8,spaghettinoir
9,bamboozle13
10,reaganetate
11,acronise
12,horrorbrain
13,smitster
14,runnertw
15,amerrit
16,dperson
17,suttercain
18,foundonyoutube
19,oscarmaltby
20,mattstechel
21,kalvinlying
22,mandrakegray
23,machetez
24,shao_liu_ringon
25,retromovienerd
26,romysvx
27,blairrussell
28,spinal_trap
29,nevermore1985
30,nrt
31,raphaklopper
32,fatyoshi
33,julianblair
34,aaron_shanley
35,always8323
36,ramiraff
37,rylan_repulsive
38,thegreatpoodini
39,frankyzerg
40,jugiro
41,nurseratchet
42,saltcubes
43,dreamscape40
44,deadlyspawn101
45,profpancakes666
46,gokuffy
47,sinacolad
48,rakgsr
49,feliciathegoat
50,samaberdeen
51,sehnzeleid
52,fulci420
53,vegto389
54,colinandrews
55,marthab
56,wayofthecass
57,carlosmartinez
58,muddguts
59,howlin_wolf
60,kinodasein
61,luxtegan
62,cherryz
63,itssofyann
64,champ83
65,soundnutrition
66,greiver
67,klertomana
68,sasesisuso
69,stauffera
70,valdimar
71,spl6sh
72,nutshellreviews
73,vonsnuff
74,mattlewis
75,midomado
76,charlie1205
77,duvid
78,jamescurtiss
79,joaogoro
80,manos_estil
81,vicentevegas
82,olid
83,dmunro88
84,billshannon
85,peterpib2
86,matthewtodd1
87,tarrant
88,djdoublem3
89,vigilante86
90,mccalpint
91,gregorywkent
92,tehshawn
93,theendofcinema
94,bind
95,jonnyjenkin
96,raventomb
97,ghostsmut
98,gt
99,quiksnowboard7
100,eddiewhitejr
101,todd_gaines
102,moviemaestro
103,kazikate
104,jeffmhady
105,thomasmccallum
106,lasttimeisaw
107,maquina_muerte
108,jvince
109,rickyhaze
110,peteramartin
111,macready
112,peacefulstoner
113,ettubrute
114,jskellington77
115,pinheadlarry145
116,keithtalent
117,javicueto
118,kwo
119,lastcaress1972
120,ninjacornelius
121,jefleppard
122,col
123,atmtc
124,drfreex
125,vincentprice
126,blazingmagnums
127,caracalla
128,laydback
129,londonmoviefan
130,jjjoinut99
131,scalytugboat
132,frankenlotter
133,hkfanatic
134,salinui
135,bizarre_eye
136,cotton_marcus
137,grooveman
138,davidzou
139,pafster
140,maggie
141,menor
