,0
0,wisdomnugget
1,notquitebeckett
2,steventhomas
3,chefrons
4,cravenss
5,brandonwardell
6,warnerbrothers
7,paramount
8,tuckytalkies
9,anotherdayofsvn
10,bowenyang
11,theburkenation
12,joeweinberg
13,hypercritique
14,tracedthurman
15,offthecufff
16,jjemes
17,sanchez24
18,andrewracklyeft
19,evilparsley
20,hobobison
21,antony_post
22,themostreviews
23,rickyvalero
24,henryg9876
25,eiwyn
26,bradleygibb1998
27,diedrichbader
28,kfm92
29,mjoseph492
30,awardswatch
31,brotherbro
32,checkfilmfant
33,geekygator
34,conmanreviews
35,brandocritic
36,jogol23
37,phinsjake
38,danojr93
39,willrog24
40,ijustreview
41,hellnohausie
42,tumbletoppel
43,drwaffle
44,chrisjpn
45,matthewlb
46,rylanfilms
47,donatobomb
48,theoscarexpert
49,cinemadrewbz
50,howlin_wolf
51,dreamscape40
52,alch_bass
53,johnmoviefan109
54,rachel2
55,samer_eslahf3y
56,brendonyu668
57,dan_felix
58,blurayseth15769
59,nono3275
60,ryannilsen
61,thefilmdrunk
62,coy_jandreau
63,jstarr187
64,mrtomatometer
65,haleighfoutch
66,danmurrell
67,austinburke
68,indiewire
69,wmavity
70,karenmpeterson
71,jrparham
72,joeymagidson
73,howatdk
74,byclaytondavis
75,ryancshowers
76,weinberg
77,codymonster91
78,kevinjacobsen
79,ryanmcquade77
80,tberry57
81,zoerosebryant
82,nextbestpicture
