,0
0,thelastmachine
1,falkonface
2,casablancadon
3,screeningnotes
4,humbljeff
5,robertsaucedo
6,rubyredt
7,clarkabray
8,spookysarahsays
9,daym0
10,pulpcereal
11,jimmycthatsme
12,thediegoandaluz
13,grandmovieclub
14,raknid
15,starsorion
16,debategod
17,randireckless
18,dahans
19,zibywiby
20,krodgers101
21,nickmcc2
22,dreamscape40
23,kidinsatiable
24,clairebear1093
25,horrorgeekliz
26,tjsnk
27,morrismovielist
28,brianhaasphx
29,hudsonhawk
30,feliciathegoat
31,sovietunion
32,klgertz
33,colinandrews
34,goliathreturns
35,arroe
36,scurfield
37,cineaficionado
38,londono
39,phanthom
40,kylezeman33
41,paulgrapes
42,thebig
43,cezeanyim
44,thenickisaac
45,hessli
46,marcvibbert
47,joshinthewoods
48,cookiedoe
49,andradewalan
50,twocineasts
51,zayfadul
52,october_john
53,victormoreno
54,thenoto
55,williamfaulkner
56,rulerboy
57,bagofbeef
58,deadlyspawn101
59,travisdirector
60,nycscott
61,babsvan
62,superpulse
63,firstshowing
64,slashfilm
65,timalamo
66,alamogreg
67,movieluvr4life
68,sdfilmthoughts
69,partydarth
70,paguy37
71,aliciamalone
72,ivanemoore
73,adam_rutkowski
74,kaptaink_cg
75,statefarmjake
76,bcahla
77,dizign54
78,thatmovieisfine
