,0
0,renielvis
1,eugabes
2,luccaesp
3,piotr_
4,ziggystardust42
5,pedromisson
6,elcruzadista
7,sthefobia
8,leocurvelo
9,oiali
10,lucaselsn
11,leocampana
12,anderxxon
13,wagnerluizfilho
14,itsigoryall
15,cilonio
16,renyan
17,thdlima
18,leonardobach
19,lilfilm
20,lantjr
21,lucasrblack
22,igormujigae
23,leomedeiros
24,jaumzzx
25,jpgtonioli
26,roger_mcl
27,medeirosnetow
28,tiagooow
29,luizn
30,renanbrenga
31,justin_peterson
32,onagrin
33,leocampos
34,fuzaro13
35,skyspracer
36,victorhugoarona
37,dannrds
38,gabrielaholanda
39,dumbdumb89
40,luduado
41,pablovillaca
42,danilo180
43,rayssamendonca
44,guimaia
45,juliabacca
46,iurileal
47,otaviobarreto
48,felipeprestes_
49,casxsilva
50,phelliphe65
51,gabbriel
52,lucasabezerra
53,mariodarksoul
54,fe_lipp
55,ingridfmalta
56,pedrocardote
57,philipcardoso
58,sneto12
59,incriticavel
60,davidfinchrr
61,mwvyan
62,luizbrayner
63,douglaspimenta
64,ttthay
65,marianamcruz
66,luizno27
67,suzanariibeiro
68,taisqrsm
69,mayarabastosj
70,carolinamsimoes
71,yejinhand_
72,borca
73,natbex
74,talyscidreira
75,marimello
76,guibrandao
77,kevinpedrosa
78,brunovellosog
79,vitinho
80,bathyry
81,gabrigadeiro95
82,arthurdudi
83,cineopath
84,vinus
85,jotapers
86,deboni
87,igoripsf
88,kalci
89,ivan27
90,loezan
91,ga3rieu
92,anabialeiroz
93,gabriellp
94,gosdal
95,netoribeiro89
96,mcsoliveira
97,brunnoduarte
98,felipperamos13
99,rodolfotavares
100,rubsmoura
101,drogon
102,ylanthimos
103,glndss
104,keronico
105,isaacborges
106,kapusda
107,ian_felipe_ss
108,agmcinefilo
109,jovemlobo
110,pedrozagallo
111,estenogueira
112,manfredovski
113,lucss
114,rebeccantunes
115,kaverito
116,joyceamaral
