,0
0,sgtdowjones
1,cinemonster
2,hail_freyr
3,bfi
4,crew
5,criterion
6,seanfennessey
7,richterjp
8,alisarine
9,screeningnotes
10,fluttergirl
11,jmikenm
12,nologui
13,elmoremoreno
14,vidi
15,academiacinemx
16,horrorville
17,tamgbs
18,variety
19,msofmac
20,mzy
21,marceruizesparz
22,bubasergio
23,escenario
24,cineclub11560
25,roddrigoph
26,mairadeal
27,annagrajales
28,carlosasse
29,rodurbano
30,skattan
31,joseteran
32,theblcklst
33,waratxe
34,ximini
35,isaacezban
36,dany
37,sherr_
38,giordanochala
39,pzimbron
40,mvalle
41,aliascane
42,roiz
43,azotation
