,0
0,johnwbell109
1,puffyjacket
2,elembee777
3,mrcritic
4,fachrazr
5,wynterineden
6,jay710
7,lord_dan2154
8,rvwfromuphere
9,ellakemp
10,slim
11,not_james_bond
12,benjaminpete
13,neven
14,esmeat
15,royalewitcheese
16,missmenolly
17,joe_88
18,vidharmi
19,steph_h
20,jet
21,carnictis
22,maximussol
23,xalamorth_flame
24,chrismitchell
25,goblinkingnz
26,repojack
27,sodadreamer
28,sethbgvt
29,horroradorer
30,horrorville
31,jimmycthatsme
32,ggnz
33,hanneswersen
34,aneeshchaganty
35,anthonyandfilm
36,justin_peterson
37,therealclose
38,rightformula1
39,baz_zooka
40,shinybeast
41,julielovesfilm
42,ahutchinson
43,gdw
44,mattmahogany
45,untitledarab
46,rterry
47,bjkman
48,demiadejuyigbe
49,mmm1991
50,t_wolfe
51,goliathreturns
52,nziff
53,wgtnfilmsoc
54,jwilford_
55,jenel
56,connoronnor
57,georgia_pie
58,hatbat
59,jack
60,tarantulini
61,themyrka
62,gusssssssssy
63,allisoncm
64,scottstreet
65,lilfilm
66,thegreatsd
67,ajhistoryfreak
68,steelpotato
69,childofmarxcola
70,the_great_owl
71,reclusivevoyage
72,gracedouglas
73,canadianfilmist
74,silentjoe13
75,crew
76,natke1
77,thatmoviefreak
78,kevinyang
79,vrasiriah
80,liammaguren
81,gmbrlyn
82,davidehrlich
83,darrenfoo1
84,djdoublem3
85,movieotta
86,sodacreekfilm
87,boggyskeet
88,badwolf9
89,kjones77
90,oliviaday
91,silentdawn
92,owenw
93,ranchonotorious
94,lise
95,shanderson88
96,donovan
97,huckstag
98,cinematica
99,ivytown
100,siracusa
101,dirkh
102,louisevr
103,matthew
104,gokul1080
105,danslevin
106,nzben
107,karl
