,0
0,ziggystardust42
1,guilhermej
2,cursocinema
3,hipsterdas11h
4,marcelomiranda
5,inacioaraujo
6,cahierspt_br
7,massaricarlos
8,minguel
9,more_badass
10,isaquephalange
11,kadu_mendes
12,barbadoscherry_
13,phelipe
14,raphixx
15,leokphs
16,pedrosazevedo
17,theendofcinema
18,galeno
19,kmf
20,larissapmaia
21,diogoserafim
22,projetohessel
23,bargo
24,durd4
25,brunoverissimo
26,adrianascarpin
27,camila150980
28,matheusfiore
29,camisrc
30,yulle
31,groudo
32,daniel_araujo88
33,lucasrf
34,philippeleao
35,notpauloemilio
36,matheus94
37,samirsouzaa
38,diogov
39,michelcvg
40,filipe_furtado
41,helioflores
42,ruixfilho
43,alessiooww
44,marianofilho
45,caiopalestrinha
46,igglr
47,guilhermeeaz
48,zoeleska
49,pauiinho
50,caueferreira
51,pitacocinefilo
52,pedrojj
53,cherbourrg
54,julianny
55,jodiefoster
56,eduardoitalo
57,jessnefrandili
58,jorgesjr
59,davidehrlich
60,quartier
61,lekoleite
62,endzow
63,jucaarthuso
64,astronarta
65,luvisgoto
66,therealdyo
67,helenaayumi
68,luttmer
69,mikaelkaelel
70,kun
71,brunnoduarte
72,ceciblanchett
73,pablovillaca
74,tuoto
75,lilfilm
