,0
0,pensamentos
1,asenraa98
2,dbc
3,alexvlad
4,fulci420
5,childofmarxcola
6,thehysteric
7,kaylafavia
8,no_face
9,sirfolmarv
10,antena
11,schall91
12,digestedsilver
13,huckstag
14,argie8
15,gd
16,maryannk01
17,fozrotten
18,gonegirls
19,the23rdjoker
20,cameronkanachki
21,slayrrr666
22,allisoncm
23,leowillem
24,sachaz
25,boggyskeet
26,pube
27,xebeche
28,tectactoe
29,fredlorenzo
30,trey_northcutt
31,paperinukke
32,paulinimax3d
33,cidclarity
34,saint_ravage
35,mightychernabog
36,leeroysayshello
37,vinnyt
38,hail_freyr
39,purock
40,debategod
41,cinemagazine
42,sodacreekfilm
43,deadmoonnight
44,dale_nauertz
45,kaisersoze
46,filmninja27
47,cedricb
48,evbear
49,thecinema4pylon
50,nawal93
51,auk_rest
52,asimpollard
53,silversaxophone
54,georgieramone
55,tentaclatron
56,shikhar29
57,commanderjoe349
58,miketorchic
59,lewry56
60,owwstin
61,thecinemalover
62,kpitman
63,blacktusjack
64,jewbees12
65,kelseybradshaw
66,drmorbius79
67,aaronelwhite
68,brakywaki
69,ah237
70,vachan23
71,ghostsmut
72,eclectic_em
73,russellgtholley
74,panos75
75,blairrussell
76,ninjadixon
77,jsp00k
78,vigilante86
79,lisbethsalander
80,scotthbg
81,julienfaddoul
82,dallashaldune
83,jimmydean
84,maartenjnssns
85,luisro274
86,christianalec94
87,redflavor
88,a_delarge1138
89,thegiantclaw
90,ct_sexybeast
91,alexhb
92,nonomoi
93,grimbo
94,crimsonking42
95,frymanjayce
96,moxleyox
97,tocadolobo
98,cgenro
99,thecinemaman101
100,alexroy656
101,tburnham
102,natkram927
103,edglendenning
104,averankin
105,h_film_critic_b
106,ambivalentman
107,seven7
108,autieteledex
109,couchonmovies
110,filmfreek25
111,jasonpettus
112,tubular_bro
113,alecfprice
114,juano2000
115,capitao134
116,aregularjoe
117,niallmole
118,mushiminion
119,scottbailey
120,amandaseyfried
121,daniil333
122,gazzyg
123,phantasmes
124,jayshermanstink
125,michaelhaneke
126,waltz3
127,pjthekop
128,bmerry
129,cosmobrown
130,matthewnoble
131,dizzy4111
132,stevenmillan
133,comedyhipster
134,djdoublem3
135,tripleholmes
136,nrh
137,chekhovsgunnar
138,lencho_o_t_apes
139,opticpotato
140,thatmoviefreak
141,maskull
142,danielzalez
143,cathyk
144,yojrb
145,trolleyfreak
146,philip86ster
147,cropsy
148,rick_7
149,adodd
150,darrenfx
151,jcase95
152,themyrka
153,aaronh
154,rickd
155,arlowe_
156,ziggystorstrand
