,0
0,jasper_wk
1,samelapamela
2,pd187
3,menzayd
4,bradfhenderson
5,gwenlikesfilm
6,dselwyns
7,filmgeekronin
8,kwatchesfilm
9,belletran
10,ziglet_mir
11,hardlyxhottest
12,desmondthorne
13,carsonanne
14,jadensewell
15,kevinyang
16,boingobanshee
17,irich22
18,gregmnewman
19,mckenziecapulet
20,bwozar
21,jakobross
22,joeymeansmovies
23,justmiaslife
24,celseren
25,cinema_arcana
26,batmike17
27,capnelson
28,nathanrabin
29,movieaficionado
30,samthompson22
31,solokast
32,willfarquad
33,jun555
34,alexsitaras
35,foofdeckman
36,txie2
37,ioha
38,jhand13
39,finfilm
40,karinaeedy
41,youcefben
42,davidwallace
43,horroradorer
44,jackburton1234
45,goldenarrow74
46,mikelmads
47,inshakhan
48,robotcookie
49,demiadejuyigbe
50,jedshepherd
51,mechamelissa
52,jmk_98
53,azjapoludniova
54,thefilmfrenzy
55,ragingfella
56,marshall411
57,azmoztyks11
58,waltonreviews
59,80sexplorer
60,sailorripley
61,limepeel
62,bipbop13
63,filmgeeks
64,ianfloodgate
65,thegreatsd
66,mandoj54
67,awayspa
68,ishein
69,headeditor
70,sheffdan78
71,sayeeda
72,emckenzie
73,dustin_b
74,amyja89
75,philipdick
76,kanadiankawaii
77,keatongman
78,xbrian23x
79,vegto389
80,filmandnam
81,luca2003
82,norma15
83,luanmarconi
84,eamon_p
85,fiddeeb
86,pinho
87,wonderfulcinema
88,becker471
89,jeremiewatson
90,redrocket21
91,heatherdurden85
92,paulgrapes
93,landonschu
94,settingsun
95,senhordarko
96,feliciathegoat
97,christo1
98,mattvanta
99,erunion
100,kurstboy
101,ryanrjack
102,riotglasses
103,ghostdogg
104,scrawfish
105,hammerbros94
106,theendofcinema
107,donatobomb
108,slashfilm
109,lilfilm
110,silentdawn
111,andredenervaux
112,ianamurray
113,snakes69
114,hollowshape
115,rupertpupkin
116,silentjoe13
117,brat
118,davidehrlich
119,mgoudreau
120,khalima077
121,rickyt
122,andrewedison
123,jennyslate
124,incomingmail
125,philgubert
126,hockeyfan15
127,kparish
128,londonmoviefan
129,a7xfan
130,rexrobben
131,bind
132,kuru
133,sarahcollins
134,dtyner1992
135,fulci420
136,mccalpint
137,sprizzle
138,erwan
139,danigrupioni
140,adambedrosian56
