,0
0,fangoria
1,davidehrlich
2,filmgoals
3,spookyastronaut
4,deathproof
5,twocineasts
6,liiromyhero
7,djdaggydiggs
8,northerlyfilms
9,jose_cilantro
10,roccocapotal
11,rythehorrorguy
12,desmondsflicks
13,incomingmail
14,fullofinsects
15,harlequinade
16,melisstrange
17,shyheemspl
18,halloweenv
19,jhownee
20,ghostlydeetz
21,annesthesia
22,andybdamned
23,gorygarrett
24,desfaulkner
25,treenabell
26,aloversepilogue
27,bengrimm
28,melvillmatic
29,nickusen
30,robertfranco
31,notarmondwhite
32,gerritfahr
33,mancashew
34,adamcampbell
35,dylhit
36,mcinterest
37,augieinspace
38,jaimerebanal
39,jowiko96
40,jeremyheilman
41,ricardotnet
42,evillights
43,daveyjenkins
44,jessehawken
45,riotglasses
46,lancestlaurent
47,glennkenny
48,lencho_o_t_apes
49,pcdevitt
50,colonelmortimer
51,thejoshl
