,0,1
0,filipe_furtado,8
1,davidehrlich,6
2,theendofcinema,8
3,ironicmajesty,8
4,labuzamovies,7
5,hernand5,8
6,filipe_furtado,8
7,nrh,8
8,silverscreen101,7
9,criticoycitrico,10
10,colonelmortimer,6
11,breramjit,7
12,cornobble,6
13,quinniq,5
14,eely,4
15,tuoto,8
16,keithnh72,7
17,zoltarak,7
18,lifewithnopants,7
19,dirtylaundri,9
20,sundiserite,8
21,kdramagirl,7
22,guimartins,8
23,krazykaat88,2
24,cblaze,4
25,hlnrvr,8
26,danielrabicho,8
27,baggins,5
28,kurdt,3
29,bhlpires,7
30,diegoquaglia,10
31,smilingwolf51,7
32,lil_wheels,4
33,brendanmichaels,9
34,michaeleternity,7
35,dpalm34,5
36,pondthegreat,2
37,rrbm7,6
38,codyworkingman,5
39,anhonestmess,8
40,brifilms,6
41,cduffy,6
42,auteur,5
43,vincentprince,5
44,timcop,7
45,juandaking,9
46,ddibbern,8
47,anxnyac,7
48,quantumpotpie,5
49,dawnzy,7
50,nbfnicholas,7
51,calvinkemph,6
52,irelanddav,7
53,nielsbonde,8
54,interstxllar_,6
55,maietcheverry,10
56,movingpictures,6
57,fuzilfalcao,8
58,pynechone,9
59,tdm5003,8
60,anhonestmess,8
61,ari_,1
62,soundturnedlow,7
63,mortom,8
64,cwbradley,5
65,sydneyshuler,6
66,timothyeraw,8
67,aminosyre,8
68,claireem,8
69,igornolascorm,8
70,jomarchs,7
71,whitepostmalone,8
72,giallofever,8
73,feedingbrett,6
74,ziggystorstrand,7
75,ghostdinosaur,7
76,olevar,8
77,rta,8
78,nissydavi,7
79,janvite,5
80,fared_jogel,4
81,theking0fcomedy,5
82,rubensfabricio,10
83,wonderhall,6
84,rmcaldwell01,4
85,ce1estewright,7
86,treybreen213,6
87,muttfour,10
88,adrianho,7
89,isamather,3
90,micagiaconi,8
91,stephenfurda,7
92,kaleisawaffle,7
93,pher,7
94,matthibbing,2
95,mcp_daskino,7
96,mwooldridge,6
97,r_mcfarl,5
98,cubapuddingjr,6
99,friedpundit,6
100,jdue,5
101,comedyhipster,4
102,marcelocomehere,7
103,bradleyjdixon,7
104,calamityhey,7
105,nictate,2
106,wej32,5
107,themoviewaffler,3
108,fredrikfyhr,5
109,rti03,5
110,quietvermonter,8
111,nielsenex,7
112,nickmillermusic,4
113,dcapps01,6
114,stefanfarian,3
115,ladyinthewater,8
116,colleencav,7
117,davidapunch,5
118,ventura_blvd,5
119,luinalda,7
120,carlxistence,8
121,earthstaylor,9
122,tobitox,9
123,faure,7
124,novideozone,3
125,tjmud,1
126,adamrooney,6
127,zhivago,7
128,lukethorne94,4
129,tvwolfsnake,6
130,paradoxdl,7
131,russman,5
132,parnes,5
133,michael11391,7
134,cappie,7
135,jasondashbailey,6
136,kevin_matthews,3
137,celinde,10
138,cmcmillan,5
139,nickdaknicksfan,5
140,wonderryn,4
141,emmygrooves,7
142,meriam,3
143,bill_wyers143,6
144,olimarc,6
145,_stacks_,8
146,jzgs21,6
147,junkyardgod,6
148,annabelles23,6
149,cinemaesquire,6
150,theaidancorona,7
151,lizard1997,7
152,imperialbobis,8
153,meganbrownie,3
154,jimmyholly,4
155,adicakes,8
156,hvmesick,5
157,hsblechman,7
158,emilystettner,6
159,woodswallstreet,8
160,mad1sonlee,9
161,lukerybak12,7
162,misguidedfun,7
163,sophieweso,8
164,jetforcegemini,6
165,lilliancrawford,8
166,thejazzypenguin,9
167,nicopueblito_,5
168,samwestergaard,5
169,theworminator,2
170,aeriana,2
171,knightwing23,8
172,sfahey,4
173,tobealonelive,6
174,juliebeans,6
175,grac30rtiz,5
176,matiaspepe_,10
177,666martina,5
178,kungfukenny,7
179,canopymanatee,7
180,allabee,7
181,isntapity,5
182,aussieguy82,6
183,mayism,4
184,lastsonoffilm,6
185,thesoundofmusic,3
186,fred99,8
187,jrkeating,8
188,lesani,5
189,jacksonross,6
190,scrumblebunny,3
191,beeawnce,5
192,wds,6
193,jabberwockyings,8
194,jsp00k,5
195,jgoresy,6
196,tony_r,5
197,willik,8
198,mitchell,6
199,carlosrm,8
200,nickvass,6
201,alyssa_hickey,7
202,rubyforsman,4
203,morganzzz,6
204,jbear,4
205,no_slacking,7
206,feyissa,2
207,ethanisafungi,8
208,oliviamudong,9
209,theblakemoran,8
210,leynah,6
211,kt2e56,4
212,scottjj,7
213,samistoked,8
214,maxrebofan420,6
215,benotoole,7
216,divad_david,8
217,freejoeyfree,5
218,drewgoose,7
219,mprangnell,10
220,caitlynnzebet,7
